game_no,round_no,game_code,game_day,game_date,hmaw_status,home_team,ht_code,away_team,at_code,ground_name,game_time,time_slot,game_state
133,16,R16Nor,Sunday,9/7/17,H,North Melbourne,Nor,Fremantle,Fre,Etihad Stadium,1:10 pm,D,VIC
134,16,R16Car,Sunday,9/7/17,H,Carlton,Car,Melbourne,Mel,MCG,3:20 pm,D,VIC
135,16,R16WCE,Sunday,9/7/17,H,WCE,WCE,Port Adelaide,Por,Domain Stadium,4:40 pm,T,WA
136,17,R17StK,Friday,14/7/17,H,StKilda,StK,Essendon,Ess,Etihad Stadium,7:50 pm,N,VIC
137,17,R17Gee,Saturday,15/7/17,H,Geelong,Gee,Hawthorn,Haw,MCG,1:45 pm,D,VIC
138,17,R17Por,Saturday,15/7/17,H,Port Adelaide,Por,North Melbourne,Nor,Adelaide Oval,2:10 pm,D,SA
139,17,R17Gol,Saturday,15/7/17,H,Gold Coast,Gol,Collingwood,Col,Metricon Stadium,4:35 pm,T,QLD
140,17,R17Gre,Saturday,15/7/17,H,Greater Western Sydney,Gre,Sydney,Syd,Spotless Stadium,7:25 pm,N,NSW
141,17,R17Mel,Saturday,15/7/17,H,Melbourne,Mel,Adelaide,Ade,TIO Stadium,7:40 pm,N,NTE
142,17,R17Ric,Sunday,16/7/17,H,Richmond,Ric,Brisbane,Bri,Etihad Stadium,1:10 pm,D,VIC
143,17,R17Car,Sunday,16/7/17,H,Carlton,Car,Western Bulldogs,Wes,MCG,3:20 pm,D,VIC
144,17,R17Fre,Sunday,16/7/17,H,Fremantle,Fre,WCE,WCE,Domain Stadium,4:40 pm,T,WA
145,18,R18Ade,Friday,21/7/17,H,Adelaide,Ade,Geelong,Gee,Adelaide Oval,7:50 pm,N,SA
146,18,R18Ess,Saturday,22/7/17,H,Essendon,Ess,North Melbourne,Nor,Etihad Stadium,1:45 pm,D,VIC
147,18,R18Mel,Saturday,22/7/17,H,Melbourne,Mel,Port Adelaide,Por,MCG,2:10 pm,D,VIC
148,18,R18Wes,Saturday,22/7/17,H,Western Bulldogs,Wes,Gold Coast,Gol,Cazalys Stadium,4:35 pm,T,QLD
149,18,R18Syd,Saturday,22/7/17,H,Sydney,Syd,StKilda,StK,SCG,7:25 pm,N,NSW
150,18,R18Fre,Saturday,22/7/17,H,Fremantle,Fre,Hawthorn,Haw,Domain Stadium,7:40 pm,N,WA
151,18,R18Ric,Sunday,23/7/17,H,Richmond,Ric,Greater Western Sydney,Gre,MCG,1:10 pm,D,VIC
152,18,R18Col,Sunday,23/7/17,H,Collingwood,Col,WCE,WCE,Etihad Stadium,3:20 pm,D,VIC
153,18,R18Bri,Sunday,23/7/17,H,Brisbane,Bri,Carlton,Car,Gabba,4:40 pm,T,QLD
154,19,R19Haw,Friday,28/7/17,H,Hawthorn,Haw,Sydney,Syd,MCG,7:50 pm,N,VIC
155,19,R19Nor,Saturday,29/7/17,H,North Melbourne,Nor,Melbourne,Mel,Blundstone Arena,1:45 pm,D,TAS
156,19,R19Gre,Saturday,29/7/17,H,Greater Western Sydney,Gre,Fremantle,Fre,Spotless Stadium,2:10 pm,D,NSW
157,19,R19Por,Saturday,29/7/17,H,Port Adelaide,Por,StKilda,StK,Adelaide Oval,4:35 pm,T,SA
158,19,R19Car,Saturday,29/7/17,H,Carlton,Car,Geelong,Gee,Etihad Stadium,7:25 pm,N,VIC
159,19,R19Gol,Saturday,29/7/17,H,Gold Coast,Gol,Richmond,Ric,Metricon Stadium,7:25 pm,N,QLD
160,19,R19Wes,Sunday,30/7/17,H,Western Bulldogs,Wes,Essendon,Ess,Etihad Stadium,1:10 pm,D,VIC
